id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,blocked_x,blocked_y,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Length,PassEndX,Zone,PassEndY,Angle,Longball,ThrowIn,Defensive,Foul,OppositeRelatedEvent,Offensive,FreekickTaken,HeadPass,Chipped,LeftFoot,Cross,Head,DirectFreekick,OutOfBoxCentre,GoalMouthY,GoalMouthZ,RightFoot,MissHigh,GoalKick,StandingSave,LayOff,MissLeft,MissRight,CornerTaken,PlayerCaughtOffside,IndirectFreekickTaken,KeeperThrow,IntentionalAssist,ShotAssist,KeyPass,BoxRight,FirstTouch,BlockedX,BlockedY,RelatedEventId,RegularPlay,Assisted,LowCentre,ParriedDanger,Hands,DivingSave,KeeperSaveInTheBox,BigChance,SmallBoxCentre,OverRun,Yellow,SetPiece,BoxCentre,Blocked,OutfielderBlock,Volley,HighLeft,BigChanceCreated,HighRight,Penalty,KeeperMissed,LowLeft,FromCorner,IndividualPlay,BoxLeft,PlayerPosition,JerseyNumber,FormationSlot,LowRight,LeadingToAttempt,Throughball,Feet,ParriedSafe,FastBreak,Collected,KeeperSaveObox
2886293987.0,10,1,9.0,1469,54.1,92.1,1,"[91, 119, 117, 30, 36, 37, 216, 218]",True,431121.0,59.9,92.9,,,,,,,,,,FirstHalf,Pass,Successful,6.1,59.9,Left,92.9,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886306533.0,729,1,10.0,1469,55.6,79.0,1,"[91, 54]",True,303096.0,,,,,,,,,,,,FirstHalf,TakeOn,Successful,,,Left,,,,,,,932.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886306531.0,932,1,10.0,495,44.4,21.0,1,[55],False,248144.0,,,,,,,,,,,,FirstHalf,Challenge,Unsuccessful,,,Back,,,,,1.0,,729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293991.0,11,1,10.0,1469,59.9,92.9,1,"[91, 119, 117, 30, 36, 38, 216, 218]",True,514978.0,61.6,79.4,,,,,,,,,,FirstHalf,Pass,Successful,9.4,61.6,Left,79.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886293995.0,12,1,12.0,1469,63.9,75.1,1,[93],False,303096.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294001.0,13,1,15.0,1469,68.7,64.9,1,"[91, 69]",True,303096.0,,,,,,,,,,,,FirstHalf,BallTouch,Unsuccessful,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294005.0,12,1,19.0,495,28.4,46.3,1,"[91, 63]",True,392361.0,,,,,,,,,,,,FirstHalf,Foul,Successful,,,Back,,,,,1.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294009.0,14,1,19.0,1469,71.6,53.7,1,[64],False,303096.0,,,,,,,,,,,,FirstHalf,Foul,Unsuccessful,,,Center,,,,,,1.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294059.0,14,1,48.0,495,28.1,36.7,1,"[91, 117, 30, 132, 36, 38, 216, 218]",True,328643.0,35.4,16.3,,,,,,,,,,FirstHalf,Pass,Successful,15.8,35.4,Back,16.3,5.22,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294061.0,15,1,50.0,495,37.2,17.7,1,"[91, 117, 30, 35, 37, 215, 218]",True,486734.0,28.6,34.3,,,,,,,,,,FirstHalf,Pass,Successful,14.5,28.6,Back,34.3,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294067.0,16,1,52.0,495,31.1,38.5,1,"[91, 117, 30, 36, 37, 215, 218]",True,328643.0,32.4,72.3,,,,,,,,,,FirstHalf,Pass,Successful,23.0,32.4,Back,72.3,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294071.0,17,1,55.0,495,32.4,72.3,1,"[91, 117, 30, 36, 37, 216, 218]",True,362434.0,34.6,91.9,,,,,,,,,,FirstHalf,Pass,Successful,13.5,34.6,Back,91.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294075.0,18,1,57.0,495,34.3,90.9,1,"[91, 117, 30, 35, 38, 215, 218]",True,437387.0,24.7,71.5,,,,,,,,,,FirstHalf,Pass,Successful,16.6,24.7,Back,71.5,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294079.0,19,1,59.0,495,25.0,69.3,1,"[91, 117, 30, 36, 38, 215, 218]",True,362434.0,26.4,34.3,,,,,,,,,,FirstHalf,Pass,Successful,23.8,26.4,Back,34.3,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294083.0,20,2,2.0,495,26.8,31.9,2,"[91, 117, 30, 36, 38, 216, 218]",True,328643.0,48.8,1.2,,,,,,,,,,FirstHalf,Pass,Successful,31.1,48.8,Back,1.2,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294087.0,21,2,5.0,495,60.1,3.9,2,"[91, 120, 128, 36, 37, 217, 218]",True,349932.0,93.2,31.3,,,,,,,,,,FirstHalf,Pass,Unsuccessful,39.4,93.2,Center,31.3,0.49,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294089.0,17,2,9.0,1469,10.5,67.9,2,[93],False,520326.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294093.0,18,2,12.0,1469,7.9,58.5,2,"[91, 118, 120, 128, 36, 38, 216, 218]",True,520326.0,36.4,0.0,,,,,,,,,,FirstHalf,Pass,Unsuccessful,50.4,36.4,Back,0.0,5.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294105.0,23,2,16.0,495,68.2,100.0,2,"[91, 212, 35, 38, 216]",True,437387.0,58.3,90.3,,,,,,,,,,FirstHalf,Pass,Successful,12.8,58.3,Left,90.3,3.77,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294107.0,24,2,19.0,495,52.7,85.5,2,"[91, 119, 117, 30, 36, 38, 216, 218]",True,362434.0,58.2,71.8,,,,,,,,,,FirstHalf,Pass,Successful,11.0,58.2,Center,71.8,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294113.0,25,2,21.0,495,54.0,69.1,2,"[91, 117, 30, 35, 37, 216, 218]",True,248144.0,47.2,84.8,,,,,,,,,,FirstHalf,Pass,Successful,12.8,47.2,Back,84.8,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
