id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,relatedEventId,relatedPlayerId,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Angle,PassEndY,Length,Zone,PassEndX,Longball,ThrowIn,Chipped,Foul,OppositeRelatedEvent,Offensive,Defensive,FreekickTaken,LayOff,StandingSave,MissLeft,ShotAssist,Cross,CornerTaken,RightFoot,IntentionalAssist,BigChanceCreated,KeyPass,FirstTouch,GoalMouthY,LowRight,SmallBoxRight,BigChance,BlockedY,BlockedX,Assisted,Head,RelatedEventId,GoalMouthZ,FromCorner,ParriedSafe,Hands,KeeperSaveInSixYard,KeeperSaveInTheBox,MissRight,LeftFoot,Blocked,BoxCentre,LowCentre,ThrowinSetPiece,OutfielderBlock,SetPiece,GoalKick,HeadPass,IndividualPlay,BoxLeft,RegularPlay,OverRun,PlayerCaughtOffside,IndirectFreekickTaken,Yellow,OneOnOne,LowLeft,FastBreak,BoxRight,Feet,KeeperThrow,OutOfBoxCentre,BlockedCross,MissHigh,DirectFreekick,OutOfBoxDeepLeft,Volley,HighRight,Collected,LeadingToAttempt,DeepBoxLeft,PlayerPosition,JerseyNumber,FormationSlot,HighLeft,DivingSave,LastMan,Penalty,KeeperSaved,AerialFoul,LeadingToGoal,HighCentre,SmallBoxCentre,SixYardBlock,SmallBoxLeft,HighClaim,OutOfBoxRight,KeeperSaveObox,ParriedDanger
2890851131.0,7,0,53.0,495,38.2,3.7,0,"[91, 117, 30, 132, 35, 37, 215, 218]",True,320834.0,22.0,21.9,,,,,,,,,,FirstHalf,Pass,Successful,2.51,21.9,21.0,Back,22.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851149.0,8,1,1.0,495,20.3,26.4,1,"[91, 117, 30, 35, 37, 215, 218]",True,362434.0,12.7,50.2,,,,,,,,,,FirstHalf,Pass,Successful,2.03,50.2,18.0,Back,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851179.0,9,1,3.0,495,12.6,51.0,1,"[91, 117, 30, 35, 37, 215, 218]",True,136220.0,9.6,69.6,,,,,,,,,,FirstHalf,Pass,Successful,1.81,69.6,13.0,Back,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851183.0,10,1,7.0,495,12.5,72.1,1,"[91, 120, 128, 36, 38, 216, 218]",True,137512.0,55.6,44.8,,,,,,,,,,FirstHalf,Pass,Unsuccessful,5.89,44.8,48.9,Center,55.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851193.0,13,1,8.0,957,45.1,53.6,1,[93],False,296319.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851211.0,14,1,9.0,957,45.1,54.0,1,"[91, 119, 117, 30, 124, 36, 38, 216, 218]",True,296319.0,54.7,50.4,,,,,,,,,,FirstHalf,Pass,Successful,6.04,50.4,10.4,Center,54.7,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851225.0,15,1,11.0,957,54.7,50.4,1,"[91, 119, 117, 30, 35, 37, 216, 218]",True,80464.0,53.1,54.2,,,,,,,,,,FirstHalf,Pass,Successful,2.15,54.2,3.1,Center,53.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851245.0,16,1,12.0,957,55.6,56.8,1,"[91, 119, 117, 30, 35, 38, 216, 218]",True,399047.0,52.0,40.3,,,,,,,,,,FirstHalf,Pass,Successful,4.39,40.3,11.8,Center,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851251.0,17,1,15.0,957,41.2,32.2,1,"[91, 117, 30, 36, 38, 216, 218]",True,447689.0,44.4,17.6,,,,,,,,,,FirstHalf,Pass,Successful,5.04,17.6,10.5,Back,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851265.0,18,1,16.0,957,44.4,17.6,1,"[91, 117, 30, 35, 37, 216, 218]",True,415277.0,34.8,22.7,,,,,,,,,,FirstHalf,Pass,Successful,2.81,22.7,10.7,Back,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
