id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Zone,Angle,Length,PassEndY,PassEndX,Longball,ThrowIn,HeadPass,Chipped,Offensive,OppositeRelatedEvent,Defensive,LeadingToAttempt,OutOfBoxCentre,RegularPlay,BlockedY,BlockedX,Blocked,RightFoot,GoalMouthY,LowLeft,IndividualPlay,GoalMouthZ,OutfielderBlock,LayOff,Foul,FreekickTaken,StandingSave,ShotAssist,KeyPass,Assisted,BoxRight,RelatedEventId,MissLeft,LeftFoot,GoalKick,Cross,Head,OverRun,DivingSave,Hands,ParriedSafe,KeeperSaveObox,MissRight,CornerTaken,IntentionalAssist,BoxCentre,FirstTouch,SetPiece,BigChanceCreated,BigChance,LastMan,Yellow,DirectFreekick,MissHigh,BoxLeft,KeeperSaveInTheBox,AerialFoul,Volley,FastBreak,LowRight,KeeperThrow,HighClaim,HighRight,FromCorner,SmallBoxRight,LowCentre,PlayerPosition,JerseyNumber,FormationSlot,Throughball,KeeperMissed,Penalty,PenaltyShootoutConcededGK,KeeperSaved
2889527905.0,286,36,54,977,9.0,74.4,36,[91],True,454408.0,,,,,,,,,,,,FirstHalf,BallTouch,Successful,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889527963.0,355,36,58,495,84.1,1.6,36,"[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,320834.0,77.9,12.0,,,,,,,,,,FirstHalf,Pass,Successful,Right,2.31,9.6,12.0,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889527969.0,356,37,3,495,70.2,19.1,37,"[91, 63]",True,317541.0,,,,,,,,,,,,FirstHalf,Foul,Successful,Right,,,,,,,,,1.0,288.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889527957.0,288,37,3,977,29.8,80.9,37,[64],False,298510.0,,,,,,,,,,,,FirstHalf,Foul,Unsuccessful,Back,,,,,,,,,,356.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528019.0,357,37,10,495,73.1,20.4,37,"[91, 119, 117, 30, 132, 205, 36, 38, 217, 218]",True,317541.0,82.3,5.1,,,,,,,,,,FirstHalf,Pass,Successful,Right,5.46,14.2,5.1,82.3,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528037.0,358,37,11,495,82.3,5.1,37,"[91, 137, 124, 126, 36, 37, 217, 218]",True,320834.0,95.4,52.0,,,,,,,,,,FirstHalf,Pass,Unsuccessful,Center,1.16,34.7,52.0,95.4,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889628323.0,1096,37,11,977,4.5,50.3,37,"[91, 94, 95, 215]",True,458315.0,12.2,45.2,,,,,,,,,,FirstHalf,Clearance,Successful,Back,5.88,8.8,45.2,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528097.0,289,37,13,977,14.5,40.0,37,[93],False,458315.0,,,,,,,,,,,,FirstHalf,KeeperPickup,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528137.0,290,37,14,977,14.5,40.0,37,"[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,458315.0,69.5,52.8,,,,,,,,,,FirstHalf,Pass,Successful,Center,0.15,58.4,52.8,69.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529935.0,310,37,21,977,69.5,52.8,37,"[197, 199]",False,408616.0,,,,,,,,,,,,FirstHalf,Aerial,Successful,Center,,,,,,,,,1.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528135.0,359,37,21,495,30.5,47.2,37,"[198, 200]",False,137512.0,,,,,,,,,,,,FirstHalf,Aerial,Unsuccessful,Back,,,,,,,,,,310.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528141.0,291,37,22,977,69.5,52.8,37,"[91, 69]",True,408616.0,,,,,,,,,,,,FirstHalf,BallTouch,Unsuccessful,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528151.0,360,37,23,495,46.4,48.0,37,[93],False,433572.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528667.0,364,38,18,495,42.6,64.6,38,"[91, 117, 30, 35, 37, 215, 218]",True,486734.0,24.7,65.4,,,,,,,,,,FirstHalf,Pass,Successful,Back,3.11,18.8,65.4,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528725.0,365,38,21,495,27.7,64.0,38,"[91, 117, 124, 127, 36, 38, 216, 218]",True,137512.0,46.4,4.3,,,,,,,,,,FirstHalf,Pass,Successful,Back,5.16,45.1,4.3,46.4,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528761.0,366,38,27,495,45.5,5.4,38,"[91, 117, 30, 35, 37, 215, 218]",True,320834.0,20.0,19.9,,,,,,,,,,FirstHalf,Pass,Successful,Back,2.79,28.5,19.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528795.0,367,38,30,495,15.3,22.9,38,"[91, 117, 30, 35, 37, 215, 218]",True,362434.0,3.6,42.3,,,,,,,,,,FirstHalf,Pass,Successful,Back,2.32,18.0,42.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528819.0,368,38,34,495,6.8,50.4,38,"[91, 117, 30, 36, 37, 215, 218]",True,136220.0,10.5,83.7,,,,,,,,,,FirstHalf,Pass,Successful,Back,1.4,23.0,83.7,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
